Sale,por_OS,por_NON,recc,avg_no_it,age,dis,diff_reg,tax,bk,lowstat,Median_s
3.05,55,3.78,0,6.874,28.1,6.4654,5,370,387.97,4.61,31.2
3.11,0,4.39,0,6.014,48.5,8.0136,3,352,385.64,10.53,17.5
6.16,0,4.39,0,5.898,52.3,8.0136,3,352,364.61,12.67,17.2
1.87,85,4.15,0,6.516,27.7,8.5353,4,351,392.43,6.36,23.1
1.5,80,2.01,0,6.635,29.7,8.344,4,280,390.94,5.99,24.5
2.9,40,1.25,0,6.939,34.5,8.7921,1,335,389.85,5.89,26.6
6.21,40,1.25,0,6.49,44.4,8.7921,1,335,396.9,5.98,22.9
7.95,60,1.69,0,6.579,35.9,10.7103,4,411,370.78,5.49,24.1
7.24,60,1.69,0,5.884,18.5,10.7103,4,411,392.33,7.79,18.6
1.71,90,2.02,0,6.728,36.1,12.1265,5,187,384.46,4.5,30.1
4.3,80,1.91,0,5.663,21.9,10.5857,4,334,382.8,8.05,18.2
10.66,80,1.91,0,5.936,19.5,10.5857,4,334,376.04,5.57,20.6
89.83,0,18.1,1,6.212,97.4,2.1222,24,666,377.73,17.6,17.8
38.497,0,18.1,1,6.395,91,2.5052,24,666,391.34,13.27,21.7
52.018,0,18.1,1,6.127,83.4,2.7227,24,666,395.43,11.48,22.7
42.613,0,18.1,0,6.112,81.3,2.5091,24,666,390.74,12.67,22.6
45.419,0,18.1,0,6.398,88,2.5182,24,666,374.56,7.79,25
38.368,0,18.1,0,6.251,91.1,2.2955,24,666,350.65,14.19,19.9
36.782,0,18.1,0,5.362,96.2,2.1036,24,666,380.79,10.19,20.8
42.224,0,18.1,1,5.803,89,1.9047,24,666,353.04,14.64,16.8
34.743,0,18.1,1,8.78,82.9,1.9047,24,666,354.55,5.29,21.9
45.559,0,18.1,0,3.561,87.9,1.6132,24,666,354.7,7.12,27.5
36.97,0,18.1,0,4.963,91.4,1.7523,24,666,316.03,14,21.9
135.222,0,18.1,0,3.863,100,1.5106,24,666,131.42,13.33,23.1
48.982,0,18.1,0,4.97,100,1.3325,24,666,375.52,3.26,50
56.7,0,18.1,1,6.683,96.8,1.3567,24,666,375.33,3.73,50
65.388,0,18.1,1,7.016,97.5,1.2024,24,666,392.05,2.96,50
92.323,0,18.1,0,6.216,100,1.1691,24,666,366.15,9.53,50
82.673,0,18.1,1,5.875,89.6,1.1296,24,666,347.88,8.88,50
111.081,0,18.1,0,4.906,100,1.1742,24,666,396.9,34.77,13.8
184.982,0,18.1,0,4.138,100,1.137,24,666,396.9,37.97,13.8
196.091,0,18.1,0,7.313,97.9,1.3163,24,666,396.9,13.44,15
152.88,0,18.1,0,6.649,93.3,1.3449,24,666,363.02,23.24,13.9
98.235,0,18.1,0,6.794,98.8,1.358,24,666,396.9,21.24,13.3
236.482,0,18.1,0,6.38,96.2,1.3861,24,666,396.9,23.69,13.1
178.667,0,18.1,0,6.223,100,1.3861,24,666,393.74,21.78,10.2
889.762,0,18.1,0,6.968,91.9,1.4165,24,666,396.9,17.21,10.4
158.744,0,18.1,0,6.545,99.1,1.5192,24,666,396.9,21.08,10.9
91.87,0,18.1,0,5.536,100,1.5804,24,666,396.9,23.6,11.3
79.925,0,18.1,0,5.52,100,1.5331,24,666,396.9,24.56,12.3
200.849,0,18.1,0,4.368,91.2,1.4395,24,666,285.83,30.63,8.8
168.118,0,18.1,0,5.277,98.1,1.4261,24,666,396.9,30.81,7.2
243.938,0,18.1,0,4.652,100,1.4672,24,666,396.9,28.28,10.5
225.971,0,18.1,0,5,89.5,1.5184,24,666,396.9,31.99,7.4
143.337,0,18.1,0,4.88,100,1.5895,24,666,372.92,30.62,10.2
81.517,0,18.1,0,5.39,98.9,1.7281,24,666,396.9,20.85,11.5
69.622,0,18.1,0,5.713,97,1.9265,24,666,394.43,17.11,15.1
52.931,0,18.1,0,6.051,82.5,2.1678,24,666,378.38,18.76,23.2
115.779,0,18.1,0,5.036,97,1.77,24,666,396.9,25.68,9.7
86.448,0,18.1,0,6.193,92.6,1.7912,24,666,396.9,15.17,13.8
133.598,0,18.1,0,5.887,94.7,1.7821,24,666,396.9,16.35,12.7
87.168,0,18.1,0,6.471,98.8,1.7257,24,666,391.98,17.12,13.1
58.721,0,18.1,0,6.405,96,1.6768,24,666,396.9,19.37,12.5
76.72,0,18.1,0,5.747,98.9,1.6334,24,666,393.1,19.92,8.5
383.518,0,18.1,0,5.453,100,1.4896,24,666,396.9,30.59,5
99.166,0,18.1,0,5.852,77.8,1.5004,24,666,338.16,29.97,6.3
250.461,0,18.1,0,5.987,100,1.5888,24,666,396.9,26.77,5.6
142.362,0,18.1,0,6.343,100,1.5741,24,666,396.9,20.32,7.2
95.957,0,18.1,0,6.404,100,1.639,24,666,376.11,20.31,12.1
248.017,0,18.1,0,5.349,96,1.7028,24,666,396.9,19.77,8.3
415.292,0,18.1,0,5.531,85.4,1.6074,24,666,329.46,27.38,8.5
679.208,0,18.1,0,5.683,100,1.4254,24,666,384.97,22.98,5
207.162,0,18.1,0,4.138,100,1.1781,24,666,370.22,23.34,11.9
119.511,0,18.1,0,5.608,100,1.2852,24,666,332.09,12.13,27.9
74.039,0,18.1,0,5.617,97.9,1.4547,24,666,314.64,26.4,17.2
144.383,0,18.1,0,6.852,100,1.4655,24,666,179.36,19.78,27.5
511.358,0,18.1,0,5.757,100,1.413,24,666,2.6,10.11,15
140.507,0,18.1,0,6.657,100,1.5275,24,666,35.05,21.22,17.2
188.11,0,18.1,0,4.628,100,1.5539,24,666,28.79,34.37,17.9
286.558,0,18.1,0,5.155,100,1.5894,24,666,210.97,20.08,16.3
457.461,0,18.1,0,4.519,100,1.6582,24,666,88.27,36.98,7
180.846,0,18.1,0,6.434,100,1.8347,24,666,27.25,29.05,7.2
108.342,0,18.1,0,6.782,90.8,1.8195,24,666,21.57,25.79,7.5
259.406,0,18.1,0,5.304,89.1,1.6475,24,666,127.36,26.64,10.4
735.341,0,18.1,0,5.957,100,1.8026,24,666,16.45,20.62,8.8
118.123,0,18.1,0,6.824,76.5,1.794,24,666,48.45,22.74,8.4
110.874,0,18.1,0,6.411,100,1.8589,24,666,318.75,15.02,16.7
70.226,0,18.1,0,6.006,95.3,1.8746,24,666,319.98,15.7,14.2
120.482,0,18.1,0,5.648,87.6,1.9512,24,666,291.55,14.1,20.8
70.504,0,18.1,0,6.103,85.1,2.0218,24,666,2.52,23.29,13.4
87.921,0,18.1,0,5.565,70.6,2.0635,24,666,3.65,17.16,11.7
158.603,0,18.1,0,5.896,95.4,1.9096,24,666,7.68,24.39,8.3
122.472,0,18.1,0,5.837,59.7,1.9976,24,666,24.65,15.69,10.2
376.619,0,18.1,0,6.202,78.7,1.8629,24,666,18.82,14.52,10.9
73.671,0,18.1,0,6.193,78.1,1.9356,24,666,96.73,21.52,11
93.389,0,18.1,0,6.38,95.6,1.9682,24,666,60.72,24.08,9.5
84.921,0,18.1,0,6.348,86.1,2.0527,24,666,83.45,17.64,14.5
100.623,0,18.1,0,6.833,94.3,2.0882,24,666,81.33,19.69,14.1
64.441,0,18.1,0,6.425,74.8,2.2004,24,666,97.95,12.03,16.1
55.811,0,18.1,0,6.436,87.9,2.3158,24,666,100.19,16.22,14.3
139.134,0,18.1,0,6.208,95,2.2222,24,666,100.63,15.17,11.7
111.604,0,18.1,0,6.629,94.6,2.1247,24,666,109.85,23.27,13.4
144.208,0,18.1,0,6.461,93.3,2.0026,24,666,27.49,18.05,9.6
151.772,0,18.1,0,6.152,100,1.9142,24,666,9.32,26.45,8.7
136.781,0,18.1,0,5.935,87.9,1.8206,24,666,68.95,34.02,8.4
93.906,0,18.1,0,5.627,93.9,1.8172,24,666,396.9,22.88,12.8
220.511,0,18.1,0,5.818,92.4,1.8662,24,666,391.45,22.11,10.5
97.242,0,18.1,0,6.406,97.2,2.0651,24,666,385.96,19.52,17.1
56.664,0,18.1,0,6.219,100,2.0048,24,666,395.69,16.59,18.4
99.665,0,18.1,0,6.485,100,1.9784,24,666,386.73,18.85,15.4
128.023,0,18.1,0,5.854,96.6,1.8956,24,666,240.52,23.79,10.8
106.718,0,18.1,0,6.459,94.8,1.9879,24,666,43.06,23.98,11.8
62.881,0,18.1,0,6.341,96.4,2.072,24,666,318.01,17.79,14.9
99.249,0,18.1,0,6.251,96.6,2.198,24,666,388.52,16.44,12.6
93.291,0,18.1,0,6.185,98.7,2.2616,24,666,396.9,18.13,14.1
75.26,0,18.1,0,6.417,98.3,2.185,24,666,304.21,19.31,13
67.177,0,18.1,0,6.749,92.6,2.3236,24,666,0.32,17.44,13.4
54.411,0,18.1,0,6.655,98.2,2.3552,24,666,355.29,17.73,15.2
50.902,0,18.1,0,6.297,91.8,2.3682,24,666,385.09,17.27,16.1
82.481,0,18.1,0,7.393,99.3,2.4527,24,666,375.87,16.74,17.8
95.136,0,18.1,0,6.728,94.1,2.4961,24,666,6.68,18.71,14.9
47.524,0,18.1,0,6.525,86.5,2.4358,24,666,50.92,18.13,14.1
46.688,0,18.1,0,5.976,87.9,2.5806,24,666,10.48,19.01,12.7
82.006,0,18.1,0,5.936,80.3,2.7792,24,666,3.5,16.94,13.5
77.522,0,18.1,0,6.301,83.7,2.7831,24,666,272.21,16.23,14.9
68.012,0,18.1,0,6.081,84.4,2.7175,24,666,396.9,14.7,20
48.121,0,18.1,0,6.701,90,2.5975,24,666,255.23,16.42,16.4
36.931,0,18.1,0,6.376,88.4,2.5671,24,666,391.43,14.65,17.7
66.549,0,18.1,0,6.317,83,2.7344,24,666,396.9,13.99,19.5
58.212,0,18.1,0,6.513,89.9,2.8016,24,666,393.82,10.29,20.2
78.393,0,18.1,0,6.209,65.4,2.9634,24,666,396.9,13.22,21.4
31.636,0,18.1,0,5.759,48.2,3.0665,24,666,334.4,14.13,19.9
37.75,0,18.1,0,5.952,84.7,2.8715,24,666,22.01,17.15,19
44.223,0,18.1,0,6.003,94.5,2.5403,24,666,331.29,21.32,19.1
155.757,0,18.1,0,5.926,71,2.9084,24,666,368.74,18.13,19.1
130.751,0,18.1,0,5.713,56.7,2.8237,24,666,396.9,14.76,20.1
43.488,0,18.1,0,6.167,84,3.0334,24,666,396.9,16.29,19.9
40.384,0,18.1,0,6.229,90.7,3.0993,24,666,395.33,12.87,19.6
35.687,0,18.1,0,6.437,75,2.8965,24,666,393.37,14.36,23.2
46.469,0,18.1,0,6.98,67.6,2.5329,24,666,374.68,11.66,29.8
80.558,0,18.1,0,5.427,95.4,2.4298,24,666,352.58,18.14,13.8
63.931,0,18.1,0,6.162,97.4,2.206,24,666,302.76,24.1,13.3
48.714,0,18.1,0,6.484,93.6,2.3053,24,666,396.21,18.68,16.7
150.234,0,18.1,0,5.304,97.3,2.1007,24,666,349.48,24.91,12
102.33,0,18.1,0,6.185,96.7,2.1705,24,666,379.7,18.03,14.6
143.337,0,18.1,0,6.229,88,1.9512,24,666,383.32,13.11,21.4
58.24,0,18.1,0,6.242,64.7,3.4242,24,666,396.9,10.74,23
57.082,0,18.1,0,6.75,74.9,3.3317,24,666,393.07,7.74,23.7
57.312,0,18.1,0,7.061,77,3.4106,24,666,395.28,7.01,25
28.184,0,18.1,0,5.762,40.3,4.0983,24,666,392.92,10.42,21.8
23.786,0,18.1,0,5.871,41.9,3.724,24,666,370.73,13.34,20.6
36.737,0,18.1,0,6.312,51.9,3.9917,24,666,388.62,10.58,21.2
56.918,0,18.1,0,6.114,79.8,3.5459,24,666,392.68,14.98,19.1
48.357,0,18.1,0,5.905,53.2,3.1523,24,666,388.22,11.45,20.6
15.09,0,27.74,0,5.454,92.7,1.8209,4,711,395.09,18.06,15.2
18.34,0,27.74,0,5.414,98.3,1.7554,4,711,344.05,23.97,7
20.75,0,27.74,0,5.093,98,1.8226,4,711,318.43,29.68,8.1
10.57,0,27.74,0,5.983,98.8,1.8681,4,711,390.11,18.07,13.6
11.13,0,27.74,0,5.983,83.5,2.1099,4,711,396.9,13.35,20.1
17.33,0,9.69,0,5.707,54,2.3817,6,391,396.9,12.01,21.8
27.96,0,9.69,0,5.926,42.6,2.3817,6,391,396.9,13.59,24.5
17.9,0,9.69,0,5.67,28.8,2.7986,6,391,393.29,17.6,23.1
28.96,0,9.69,0,5.39,72.9,2.7986,6,391,396.9,21.14,19.7
26.84,0,9.69,0,5.794,70.6,2.8927,6,391,396.9,14.1,18.3
23.91,0,9.69,0,6.019,65.3,2.4091,6,391,396.9,12.92,21.2
17.78,0,9.69,0,5.569,73.5,2.3999,6,391,395.77,15.1,17.5
22.44,0,9.69,0,6.027,79.7,2.4982,6,391,396.9,14.33,16.8
6.26,0,11.93,0,6.593,69.1,2.4786,1,273,391.99,9.67,22.4
4.53,0,11.93,0,6.12,76.7,2.2875,1,273,396.9,9.08,20.6
6.08,0,11.93,0,6.976,91,2.1675,1,273,396.9,5.64,23.9
10.96,0,11.93,0,6.794,89.3,2.3889,1,273,393.45,6.48,22
4.74,0,11.93,0,6.03,80.8,2.505,1,273,396.9,7.88,11.9
